id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
52132,ET.GOH.Q4.13.156.266,ruba guesh kidane,175,,14.057,37.94091,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52133,ET.GOH.Q4.13.156.267,enda  mengesha,250,,14.09143,37.92633,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52134,ET.GOH.Q4.13.156.268,may tekli,200,,14.09565,37.92184,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52135,ET.GOH.Q4.13.156.269,may chirukruk,250,,14.07664,37.91171,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52136,ET.GOH.Q4.13.156.270,dilil,250,,14.1027,37.95769,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,hitsats,,,,
52138,ET.GOH.Q4.13.156.271,medagul,250,,14.09496,37.77495,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52139,ET.GOH.Q4.13.156.272,werho,230,,13.95335,38.23759,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,birhan,,,,
52044,ET.GOH.Q4.13.156.199,Tsie,200,,13.91625,38.80462,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Adi serawat,,,,
52045,ET.GOH.Q4.13.156.200,Adi keshi,200,,13.91887,38.80555,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Adi serawat,,,,
52140,ET.GOH.Q4.13.156.273,grat momona,175,,14.05084,38.42937,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,T/koraro,adi menabe,,,,
52141,ET.GOH.Q4.13.156.274,adi etiye,150,,14.04195,38.41528,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,T/koraro,adi menabe,,,,
52142,ET.GOH.Q4.13.156.275,May  shiluk,125,,14.11882,38.60744,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,T/maychew,May sye,,,,
52143,ET.GOH.Q4.13.156.276,Mahitse,150,,14.22683,38.26355,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,L/adiabo,Maiambesa,,,,
52171,ET.GOH.Q4.13.156.277,Adi ali,260,,14.26701,38.24024,22890.05,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,342,,430,School,,,,L/adiabo,Hadegti,,,,
52172,ET.GOH.Q4.13.156.278,Adi hanse,300,,14.27393,38.24253,22890.05,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,342,,430,School,,,,L/adiabo,Hadegti,,,,
65245,ET.GOH.Q4.13.156.279,May Teratit,400,,14.25386,38.7017,8317.92,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,423,Community,,,,Mereb Leke,Adi-Elen,,,,
65246,ET.GOH.Q4.13.156.280,Mayaye,250,,14.14643,37.70673,8317.92,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,423,Community,,,,T/adiabo,Maykuhli,,,,
65247,ET.GOH.Q4.13.156.281,Maybatie,200,,14.1338,39.03022,8317.92,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,423,Community,,,,Adwa,Gediba,,,,
65248,ET.GOH.Q4.13.156.282,May-tebko,200,,14.16416,39.03589,8317.92,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,423,Community,,,,Adwa,Gediba,,,,
65249,ET.GOH.Q4.13.156.283,May-agam,200,,14.1615,39.02687,8317.92,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,423,Community,,,,Adwa,Gediba,,,,
