id,deployment_code,community_name,population,cost_estimate,plaque_text,location_type_id,project_type_id,status_id,grant_id,grant_program_id,region,rehab,revenue_category,package_id,fluxx_regrant_id,possible_location_types,state,district,sub_district,system_name,water_point_name,latitude,longitude
6973,ET.GOH.Q2.13.144.063,Mentago,250,9063.85,"Kindness Is Always Fashionable.
-          Rachel Roy",CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Jijke,,,14.19062,39.04399
6974,ET.GOH.Q2.13.144.064,Maymare,400,9063.85,"Kindness Is Always Fashionable.
-          Rachel Roy",CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Jijke,,,14.19665,39.06699
6975,ET.GOH.Q2.13.144.065,Dewera school,403,9063.85,Gardena Valley Baptist Church - Advent 2012,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Abergelle,Gera,,,14.3367,38.61428
6976,ET.GOH.Q2.13.144.066,Keramidi,250,9063.85,Gardena Valley Baptist Church - Advent 2012,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Maichew,Chila,,,14.08057,39.06924
6977,ET.GOH.Q2.13.144.067,May mesles,225,9063.85,AG SPRING 2013,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Maichew,Chila,,,14.2457,38.95137
6978,ET.GOH.Q2.13.144.068,May Agahum,210,9063.85,To our family and friends,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,366,Community,Tigray,T/Maichew,Chila,,,14.06952,39.27241
6979,ET.GOH.Q2.13.144.069,May Tsegema,175,9063.85," ""Thank you so much for making a difference!""",CO,3,1,1174,120,Tigray,1,WPS,140,367,Community,Tigray,T/Maichew,Chila,,,14.36159,38.72872
6980,ET.GOH.Q2.13.144.070,May darka,115,7490.13,In Honor of Robert Sanders received by Christ 2013,CO,1,1,1174,120,Tigray,1,WPS,142,367,Community,Tigray,Adwa,Selam,,,14.16902,39.00452
6981,ET.GOH.Q2.13.144.071,May Belaeto,150,7490.13,"may light, love and peace shine in and through you",CO,1,1,1174,120,Tigray,1,WPS,147,367,Community,Tigray,Adwa,Tahtay logomity,,,14.16276,39.00044
6982,ET.GOH.Q2.13.144.072,May Amrakut,300,7490.13,Access to clean water IS a human right. Believe.,CO,1,1,1174,120,Tigray,1,WPS,145,367,Community,Tigray,Adwa,Tahtay logomity,,,13.49232,39.07066
6983,ET.GOH.Q2.13.144.073,Sewhi may Ayni,300,7490.13,"In the Kingdom of God, not one should thirst.",CO,1,1,1174,120,Tigray,0,WPS,75,368,Community,Tigray,Adwa,Tahtay logomity,,,14.00172,39.00429
6984,ET.GOH.Q2.13.144.074,May Abek,350,7490.13,"Love, Peace & Light",CO,1,1,1174,120,Tigray,0,WPS,171,368,Community,Tigray,Adwa,Tahtay logomity,,,14.21678,38.65822
6986,ET.GOH.Q2.13.144.075,Adimero,200,7490.13,AG SPRING 2013,CO,1,1,1174,120,Tigray,0,WPS,75,368,Community,Tigray,Adwa,Tahtay logomity,,,14.05982,39.05251
6988,ET.GOH.Q2.13.144.076,Giratambuk,300,7490.13,"Max's Water Project 2013  Syracuse, New York, U.S.",CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,Adwa,¾Laelay Logomity,,,14.1988,39.0164
6989,ET.GOH.Q2.13.144.077,Adizao,500,7490.13,"Operation H20/Brethren in Christ Church Palmyra,PA",CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,Adwa,¾Laelay Logomity,,,14.17234,39.02923
6990,ET.GOH.Q2.13.144.078,May Shitur endagabir,300,7490.13,Seamless,CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,Adwa,¾Laelay Logomity,,,13.71425,38.78439
6991,ET.GOH.Q2.13.144.079,May weino,250,7490.13,Seamless,CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,Adwa,¾Laelay Logomity,,,13.52951,39.0086
6992,ET.GOH.Q2.13.144.080,Agamat,300,7490.13,Lookout for Charity: Water,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,Adwa,¾Laelay Logomity,,,13.71335,38.68925
6993,ET.GOH.Q2.13.144.081,kuiha,250,7490.13,Vik's 30th birthday well,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,Adwa,¾Laelay Logomity,,,14.18661,39.00566
6994,ET.GOH.Q2.13.144.082,May Tefnak,150,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,140,368,Community,Tigray,Adwa,¾Laelay Logomity,,,14.17359,39.01637
6995,ET.GOH.Q2.13.144.083,Adiquiha,175,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,140,368,Community,Tigray,Adwa,Weyenti,,,13.51909,39.07535
6996,ET.GOH.Q2.13.144.084,Fichiqa,250,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,143,368,Community,Tigray,Adwa,Weyenti,,,14.19162,39.03621
6997,ET.GOH.Q2.13.144.085,Hutsa,200,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,143,368,Community,Tigray,Adwa,Weyenti,,,14.17797,39.03268
6998,ET.GOH.Q2.13.144.086,Mailiham,375,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,141,368,Community,Tigray,Adwa,Weyenti,,,13.70089,38.73303
6999,ET.GOH.Q2.13.144.087,Maitsaeda,125,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,141,368,Community,Tigray,Adwa,Weyenti,,,13.69335,38.75675
7000,ET.GOH.Q2.13.144.088,Maigodae,125,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,143,368,Community,Tigray,Adwa,Weyenti,,,14.06411,38.94536
7001,ET.GOH.Q2.13.144.089,Dengola anan,120,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,,368,Community,Tigray,Adwa,Weyenti,,,14.27881,38.59054
7003,ET.GOH.Q2.13.144.090,Kudo,175,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,,368,Community,Tigray,Adwa,Weyenti,,,14.32896,38.5795
7004,ET.GOH.Q2.13.144.091,Maiabagie,125,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,194,368,Community,Tigray,Adwa,Weyenti,,,13.97258,38.95604
7005,ET.GOH.Q2.13.144.092,Dembagulti,150,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,154,368,Community,Tigray,Adwa,Weyenti,,,14.09675,39.29216
7006,ET.GOH.Q2.13.144.093,May shahay,250,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,194,368,Community,Tigray,T/Maichew,Debreshwit,,,14.20962,38.6465
7007,ET.GOH.Q2.13.144.094,tseratsir,200,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,T/Maichew,Debreshwit,,,14.077766,39.00211
7008,ET.GOH.Q2.13.144.095,May medemadm,200,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,T/Maichew,Debreshwit,,,14.06155,38.99269
7009,ET.GOH.Q2.13.144.096,May tsehagat,100,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,T/Maichew,Debreshwit,,,13.95729,39.01006
7010,ET.GOH.Q2.13.144.097,May kalayo,110,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,T/Maichew,Debreshwit,,,12.99152,39.41088
7011,ET.GOH.Q2.13.144.098,Ruba qurae,165,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,T/Maichew,Debreshwit,,,14.01513,39.00797
7012,ET.GOH.Q2.13.144.099,May dugdugini,150,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,T/Maichew,Debreshwit,,,14.28184,38.57332
