id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,plaque_text,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
51538,ET.GOH.Q3.13.148.083,Mihrae dawlo,280,,13.79126,39.78119,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Atsbiwemberta,Michael emba,,,,
51539,ET.GOH.Q3.13.148.084,Darkalo,250,,13.79273,39.77896,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Atsbiwemberta,Michael emba,,,,
51540,ET.GOH.Q3.13.148.085,May kuhla,260,,13.64547,39.54806,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,188,,417,Community,,,,Kilteawlaelo,Kihen,,,,
51541,ET.GOH.Q3.13.148.086,May kuhla,250,,13.64559,39.54877,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,189,,417,Community,,,,Kilteawlaelo,Kihen,,,,
51542,ET.GOH.Q3.13.148.087,Below michael church,300,,13.64233,39.55175,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,187,,417,Community,,,,Kilteawlaelo,Kihen,,,,
51543,ET.GOH.Q3.13.148.088,Endateklehaimanot,240,,13.59538,39.577041,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,192,,417,Community,,,,Kilteawlaelo,Kihen,,,,
51544,ET.GOH.Q3.13.148.089,Gerebbelesat,265,,13.64132,39.55765,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,193,,417,Community,,,,Kilteawlaelo,Kihen,,,,
51545,ET.GOH.Q3.13.148.090,Near diversion,310,,13.69936,39.64493,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Mesanu,,,,
51546,ET.GOH.Q3.13.148.091,Alemshila,290,,13.70301,39.6313,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,209,,417,Community,,,,Kilteawlaelo,Mesanu,,,,
51547,ET.GOH.Q3.13.148.092,Near Abrha Gidey,270,,13.70096,39.60988,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Mesanu,,,,
51548,ET.GOH.Q3.13.148.093,Laelay rahya,250,,13.71308,39.61528,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Mesanu,,,,
51549,ET.GOH.Q3.13.148.094,below mengesha belay,215,,13.6882,39.59651,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,202,,417,Community,,,,Kilteawlaelo,Mesanu,,,,
51550,ET.GOH.Q3.13.148.095,Near school,320,,13.75859,39.46705,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,214,,417,Community,,,,Kilteawlaelo,Hayelom,,,,
51551,ET.GOH.Q3.13.148.096,Sewhiferes,290,,13.7737,39.50194,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,215,,417,Community,,,,Kilteawlaelo,Hayelom,,,,
51552,ET.GOH.Q3.13.148.097,Near Tadese Araya,320,,13.69009,39.56008,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Mahbereweyni,,,,
51553,ET.GOH.Q3.13.148.098,Adieir,320,,13.74796,39.56342,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Aynalem,,,,
51554,ET.GOH.Q3.13.148.099,Farka,310,,13.75039,39.57913,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Aynalem,,,,
51555,ET.GOH.Q3.13.148.100,Abigrat,250,,13.52597,39.52597,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Aynalem,,,,
51556,ET.GOH.Q3.13.148.101,Mayayeni,260,,13.79649,39.5171,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Aynalem,,,,
51557,ET.GOH.Q3.13.148.102,Near naynifas,260,,13.80155,39.59696,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Genfel,,,,
51558,ET.GOH.Q3.13.148.103,Below Tsegay Hailu,250,,13.80099,39.59406,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Kilteawlaelo,Genfel,,,,
51559,ET.GOH.Q3.13.148.104,Girar eibo,260,,14.17165,39.46968,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Gantafeshum,Gahgot,,,,
