id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name
new,ET.RST.Q2.14.162.054,Mihidar Tawet,291,,13.53712,39.44099,,,,,,,EMC Texas,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Adiha,,
new,ET.RST.Q2.14.162.055,Gra mantile,291,,13.13915,39.29825,,,,,,,"Renewal Sales, Operations & GBS",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Lemlem A'arena,,
new,ET.RST.Q2.14.162.056,May tirbirb,291,,13.15912,39.26482,,,,,,,Dedicated to the children of Ethiopia.,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Lemlem A'arena,,
new,ET.RST.Q2.14.162.057,May cheba,291,,13.15972,39.26457,,,,,,,A Well for Michelle's 40th,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Lemlem A'arena,,
new,ET.RST.Q2.14.162.058,May mayncheba,291,,13.25815,39.11817,,,,,,,Houston Children Give Back!,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Metkel Lima't,,
new,ET.RST.Q2.14.162.059,Enda geydn,291,,13.2591,39.20735,,,,,,,Crystal's Birthday Surprise!,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Metkel Lima't,,
new,ET.RST.Q2.14.162.060,Mengedi aslam,291,,13.25467,39.2007,,,,,,,Soma,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Metkel Lima't,,
new,ET.RST.Q2.14.162.061,Baekel,291,,13.2238,39.18503,,,,,,,"Winston & Strawn LLP
Water is WISE",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Metkel Lima't,,
new,ET.RST.Q2.14.162.062,Laelay gontil,291,,13.09713,39.06687,,,,,,,May this well be a blessing to many generations,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Nebar hadnet,,
new,ET.RST.Q2.14.162.063,Tezaw,291,,13.09447,39.08277,,,,,,,Life is short. It's not about you. Do something.,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Nebar hadnet,,
new,ET.RST.Q2.14.162.064,Gri ruba,291,,13.11854,39.09468,,,,,,,EMC Global Business Operations,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saharti Samre,Nebar hadnet,,
new,ET.RST.Q2.14.162.065,Endaba halefom,291,,13.42694,38.95757,,,,,,,Westminster Christian Elementary School,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ta_nqua Abergelle,Gera,,
